Date,crit1,crit2,crit3,crit4,crit5,crit6,crit7
2018-08-16,0,0,0,0,0,0,0
2018-08-21,0,0,0,0,0,0,0
2018-08-24,0,0,0,0,0,0,0
2018-08-29,0,0,0,0,0,0,0
2018-09-03,0,0,0,0,0,0,0
2018-09-06,0,0,0,0,0,0,0
2018-09-11,0,0,0,0,0,0,0
2018-09-14,0,0,0,0,0,0,0
2018-09-19,0,0,0,0,0,0,0
2018-09-24,0,0,0,0,0,0,0
2018-09-27,0,0,0,0,0,0,0
2018-10-02,0,0,0,0,0,0,0
2018-10-05,0,0,0,0,0,0,0
2018-10-10,0,0,0,0,0,0,0
2018-10-15,0,0,0,0,0,0,0
2018-10-18,0,0,0,0,0,0,0
2018-10-23,0,0,0,0,0,0,0
2018-10-26,0,0,0,0,0,0,0
2018-10-31,0,0,0,0,0,0,0
2018-11-05,0,0,0,0,0,0,0
2018-11-08,0,0,0,0,0,0,0
2018-11-13,0,0,0,0,0,0,0
2018-11-16,0,0,0,0,0,0,0
2018-11-21,0,0,0,0,0,0,0
2018-11-26,0,0,0,0,0,0,0
2018-11-29,0,0,0,0,0,0,0
2018-12-04,0,0,0,0,0,0,0
2018-12-07,0,0,0,0,0,0,0
2018-12-12,0,0,0,0,0,0,0
2018-12-17,0,0,0,0,0,0,0
2018-12-20,0,0,0,0,0,0,0
2018-12-25,0,0,0,0,0,0,0
2018-12-28,0,0,0,0,0,0,0
2019-01-02,0,0,0,0,0,0,0
2019-01-07,0,0,0,0,0,0,0
2019-01-10,0,0,0,0,0,0,0
2019-01-15,0,0,0,0,0,0,0
2019-01-18,0,0,0,0,0,0,0
2019-01-23,0,0,0,0,0,0,0
2019-01-28,0,0,0,0,0,0,0
2019-01-31,0,1,0,0,0,0,0
2019-02-05,0,1,0,0,0,0,0
2019-02-08,0,1,0,0,0,0,0
2019-02-13,0,1,0,0,0,0,0
2019-02-18,0,1,0,0,0,0,0
2019-02-21,0,0,0,0,0,0,0
2019-02-26,0,1,0,0,0,0,0
2019-03-01,0,0,0,0,0,0,0
2019-03-06,0,1,0,0,0,0,0
2019-03-11,1,1,0,0,0,0,0
2019-03-14,1,1,0,0,0,1,0
2019-03-19,1,1,0,0,0,1,0
2019-03-22,1,1,0,0,0,1,0
